"Time (s)","Latitude (째)","Longitude (째)","Height (m)","Velocity (m/s)","Direction (째)","Horizontal Accuracy (m)","Vertical Accuracy (째)"
1.896879317E2,6.500803170E1,2.560609000E1,2.852435364E1,1.500034277E0,7.173506165E1,4.748651494E0,5.918535563E0
1.906879293E2,6.500803740E1,2.560612186E1,2.860512495E1,1.490412181E0,7.173506165E1,4.748651480E0,5.920820598E0
1.916879277E2,6.500804514E1,2.560615366E1,2.856383366E1,1.481669785E0,7.173506165E1,4.748651470E0,5.992692752E0
1.926879240E2,6.500805245E1,2.560618494E1,2.859146647E1,1.492136427E0,6.982522583E1,4.748651460E0,6.032464099E0
1.936879214E2,6.500805652E1,2.560621929E1,2.878713896E1,1.509475571E0,6.982522583E1,4.748651475E0,6.185120947E0
1.946879189E2,6.500806227E1,2.560625206E1,2.878231587E1,1.504136901E0,6.982522583E1,4.748651475E0,6.172268107E0
1.956879153E2,6.500806620E1,2.560628558E1,2.860545705E1,1.495606165E0,6.982522583E1,4.748651485E0,5.988686512E0
1.966879127E2,6.500806928E1,2.560632071E1,2.810332764E1,1.453020834E0,6.982522583E1,4.748651481E0,5.923214533E0
1.976879097E2,6.500808452E1,2.560634776E1,2.852232978E1,1.507946567E0,6.982522583E1,4.748651411E0,5.968413016E0
1.986879069E2,6.500809160E1,2.560638116E1,2.780579716E1,1.500574705E0,6.982522583E1,4.748651420E0,5.987156348E0
1.996879048E2,6.500809570E1,2.560641583E1,2.821021231E1,1.480167064E0,6.982522583E1,4.748651440E0,6.054531116E0
2.006879019E2,6.500809241E1,2.560645362E1,2.794413621E1,1.500856154E0,6.982522583E1,4.748651508E0,6.019502361E0
2.016878992E2,6.500809826E1,2.560648694E1,2.792375342E1,1.511634176E0,6.982522583E1,4.748651490E0,6.050605464E0
2.026878957E2,6.500810552E1,2.560651954E1,2.874307208E1,1.551225770E0,6.982522583E1,4.748651500E0,6.033725193E0
2.036878926E2,6.500811196E1,2.560655429E1,2.843226692E1,1.647158218E0,6.982522583E1,4.748651496E0,6.028804983E0
2.046878892E2,6.500811943E1,2.560658467E1,2.832393613E1,1.632703059E0,6.982522583E1,4.748651450E0,6.203451940E0
2.056878874E2,6.500812531E1,2.560661473E1,2.811016800E1,1.621920034E0,6.982522583E1,4.748651443E0,6.308941566E0
2.066878833E2,6.500812998E1,2.560664778E1,2.758114861E1,1.617238912E0,6.982522583E1,4.748651416E0,6.258857373E0
2.076878810E2,6.500813474E1,2.560668128E1,2.778947350E1,1.636223152E0,6.982522583E1,4.748651424E0,6.271218013E0
2.086878779E2,6.500814380E1,2.560671339E1,2.834743418E1,1.645354495E0,6.996697998E1,4.748651442E0,6.190537320E0
2.096878752E2,6.500814983E1,2.560674533E1,2.842396181E1,1.635517855E0,6.914086914E1,4.748651466E0,6.201825585E0
2.106878717E2,6.500815377E1,2.560678015E1,2.822756914E1,1.663159570E0,6.914086914E1,4.748651463E0,6.304925699E0
2.116878695E2,6.500816063E1,2.560681031E1,2.842619825E1,1.635770151E0,6.914086914E1,4.748651450E0,6.366552021E0
2.126878657E2,6.500816323E1,2.560684683E1,2.791475293E1,1.660926825E0,7.128285217E1,4.748651460E0,6.368672486E0
2.136878626E2,6.500816882E1,2.560687727E1,2.787913972E1,1.641636854E0,7.128285217E1,4.748651433E0,6.420879941E0
2.146878595E2,6.500817023E1,2.560691157E1,2.796666767E1,1.624037892E0,7.128285217E1,4.748651470E0,6.569847081E0
2.156878561E2,6.500817880E1,2.560693970E1,2.788662556E1,1.629863774E0,6.816846466E1,4.748651456E0,6.375314643E0
2.166878543E2,6.500818376E1,2.560697359E1,2.762849604E1,1.640421636E0,6.816846466E1,4.748651448E0,6.321472398E0
2.176878505E2,6.500818707E1,2.560700651E1,2.759945254E1,1.620895295E0,6.816846466E1,4.748651442E0,6.370975415E0
2.186878471E2,6.500818999E1,2.560704092E1,2.760229545E1,1.647538468E0,6.816846466E1,4.748651461E0,6.253801854E0
2.196878437E2,6.500819558E1,2.560707094E1,2.767747995E1,1.643420364E0,6.816846466E1,4.748651459E0,6.283723486E0
2.206878415E2,6.500820324E1,2.560710212E1,2.790231204E1,1.647012348E0,6.086077499E1,4.748651453E0,6.261760101E0
2.216878389E2,6.500821107E1,2.560712964E1,2.772929057E1,1.645233812E0,6.086077499E1,4.748651421E0,6.336531745E0
2.226878353E2,6.500821983E1,2.560715570E1,2.762213904E1,1.652107669E0,3.569485474E1,4.748651384E0,6.566356375E0
2.236878324E2,6.500822975E1,2.560718077E1,2.793481780E1,1.661601919E0,2.556417847E1,4.748651386E0,6.603047493E0
2.246878293E2,6.500824425E1,2.560719450E1,2.820624915E1,1.659366364E0,3.569485474E1,4.748651344E0,6.547762969E0
2.256878253E2,6.500825752E1,2.560720661E1,2.798875881E1,1.656273626E0,2.493347406E0,4.748651309E0,6.613357791E0
2.266878223E2,6.500827233E1,2.560720940E1,2.791549940E1,1.660996540E0,1.024839020E1,4.748651261E0,6.740653168E0
2.276878198E2,6.500828590E1,2.560721036E1,2.786250554E1,1.657101972E0,1.024839020E1,4.748651242E0,6.895504081E0
2.286878170E2,6.500830123E1,2.560720556E1,2.798836192E1,1.674830844E0,3.558914490E2,4.748651247E0,6.815155740E0
2.296878134E2,6.500831589E1,2.560720017E1,2.797468521E1,1.683097559E0,3.558914490E2,4.748651247E0,6.828683671E0
2.306878104E2,6.500832920E1,2.560719083E1,2.763865769E1,1.674291835E0,3.466038513E2,4.748651245E0,6.840003253E0
2.316878072E2,6.500834244E1,2.560717847E1,2.736672570E1,1.661550443E0,3.466038513E2,4.748651256E0,6.781371247E0
2.326878051E2,6.500835638E1,2.560716605E1,2.752198300E1,1.668772062E0,3.417382812E2,4.748651263E0,6.748243826E0
2.336878009E2,6.500837005E1,2.560715087E1,2.757058236E1,1.674490448E0,3.417382812E2,4.748651271E0,6.836610378E0
2.346877974E2,6.500838379E1,2.560714167E1,2.754960657E1,1.666553359E0,3.417382812E2,4.748651291E0,6.644913470E0
2.356877942E2,6.500839788E1,2.560712411E1,2.737783623E1,1.696709574E0,3.417382812E2,4.748651266E0,6.782812102E0
2.366877915E2,6.500841136E1,2.560711215E1,2.744499836E1,1.678205761E0,3.417382812E2,4.748651286E0,6.534281333E0
2.376877884E2,6.500842557E1,2.560709419E1,2.750677999E1,1.690807428E0,3.417382812E2,4.748651303E0,6.589912253E0
2.386877853E2,6.500844031E1,2.560708040E1,2.752213150E1,1.703363371E0,3.427838440E2,4.748651305E0,6.635716702E0
2.396877828E2,6.500845544E1,2.560706517E1,2.799747859E1,1.714432292E0,3.409486694E2,4.748651319E0,6.391068572E0
2.406877797E2,6.500846993E1,2.560705341E1,2.793524359E1,1.708319198E0,3.409486694E2,4.748651321E0,6.537760988E0
2.416877761E2,6.500848388E1,2.560704040E1,2.786654464E1,1.723837021E0,3.409486694E2,4.748651307E0,6.553998769E0
2.426877723E2,6.500849757E1,2.560702770E1,2.783424247E1,1.688356955E0,3.409486694E2,4.748651304E0,6.585269721E0
2.436877692E2,6.500851148E1,2.560700964E1,2.762618201E1,1.699588792E0,3.409486694E2,4.748651247E0,6.522997916E0
2.446877664E2,6.500852696E1,2.560699546E1,2.793817810E1,1.701460621E0,3.409486694E2,4.748651260E0,6.507339000E0
2.456877639E2,6.500854140E1,2.560698286E1,2.795037440E1,1.692156416E0,3.409486694E2,4.748651320E0,6.502995380E0
2.466877599E2,6.500855612E1,2.560697341E1,2.788379173E1,1.690156253E0,3.396737671E2,4.748651309E0,6.630021587E0
2.476877574E2,6.500857131E1,2.560696375E1,2.758817860E1,1.701730085E0,3.396737671E2,4.748651310E0,6.405192364E0
2.486877539E2,6.500858652E1,2.560695679E1,2.770568314E1,1.693479241E0,3.396737671E2,4.748651316E0,6.496565934E0
2.496877514E2,6.500860114E1,2.560694932E1,2.786788042E1,1.692111386E0,3.396737671E2,4.748651323E0,6.486135071E0
2.506877486E2,6.500861627E1,2.560694266E1,2.748153048E1,1.706164473E0,3.396737671E2,4.748651317E0,6.478122333E0
2.516877449E2,6.500863192E1,2.560693562E1,2.787636340E1,1.706930425E0,3.396737671E2,4.748651329E0,6.449806958E0
2.526877413E2,6.500864655E1,2.560692000E1,2.821530412E1,1.694427646E0,3.396737671E2,4.748651342E0,6.525608549E0
2.536877375E2,6.500866081E1,2.560690343E1,2.823143604E1,1.700827451E0,3.396737671E2,4.748651352E0,6.495171075E0
2.546877359E2,6.500867478E1,2.560688741E1,2.803601184E1,1.698320682E0,3.396737671E2,4.748651327E0,6.662857080E0
2.556877322E2,6.500868862E1,2.560687353E1,2.813195153E1,1.688664180E0,3.396737671E2,4.748651315E0,6.615091551E0
2.566877285E2,6.500870320E1,2.560686057E1,2.825340643E1,1.704664570E0,3.396737671E2,4.748651333E0,6.578164709E0
2.576877259E2,6.500871726E1,2.560684698E1,2.835009527E1,1.697596225E0,3.385119934E2,4.748651338E0,6.644813452E0
2.586874295E2,6.500873151E1,2.560683668E1,2.826325116E1,1.691565065E0,3.385119934E2,4.748651344E0,6.507085230E0
2.596874294E2,6.500874611E1,2.560682482E1,2.832939906E1,1.695749850E0,3.385119934E2,4.748651341E0,6.627546583E0
2.606874387E2,6.500876092E1,2.560681411E1,2.826357947E1,1.691046465E0,3.385119934E2,4.748651337E0,6.648353695E0
2.616874441E2,6.500877565E1,2.560680185E1,2.839798752E1,1.698287217E0,3.371612244E2,4.748651335E0,6.689016501E0
2.626874517E2,6.500879040E1,2.560679035E1,2.825554614E1,1.719208180E0,3.371612244E2,4.748651303E0,6.847533666E0
2.636874694E2,6.500880479E1,2.560677850E1,2.807838278E1,1.719289718E0,3.371612244E2,4.748651293E0,6.846659805E0
2.646874809E2,6.500881919E1,2.560676380E1,2.832095386E1,1.712230798E0,3.371612244E2,4.748651315E0,6.747797718E0
2.656874948E2,6.500883306E1,2.560674817E1,2.835030269E1,1.695185185E0,3.371612244E2,4.748651293E0,6.763641755E0
2.666875154E2,6.500884664E1,2.560673178E1,2.800793162E1,1.689841098E0,3.371612244E2,4.748651311E0,6.809805414E0
2.676875322E2,6.500886118E1,2.560672097E1,2.814078219E1,1.695058552E0,3.371612244E2,4.748651288E0,6.894766344E0
2.686875432E2,6.500887594E1,2.560670789E1,2.840279183E1,1.729453425E0,3.371612244E2,4.748651294E0,6.994338630E0
2.696875646E2,6.500889090E1,2.560670077E1,2.816769362E1,1.712285903E0,3.370413208E2,4.748651302E0,6.851485492E0
2.706875823E2,6.500890571E1,2.560668656E1,2.805299059E1,1.710495322E0,3.370413208E2,4.748651273E0,6.999104903E0
2.716875947E2,6.500892012E1,2.560667104E1,2.843154207E1,1.711381856E0,3.370413208E2,4.748651284E0,6.820699638E0
2.726876138E2,6.500893362E1,2.560665643E1,2.854443766E1,1.725471358E0,3.370413208E2,4.748651290E0,6.879168502E0
2.736876316E2,6.500894775E1,2.560663889E1,2.868024541E1,1.714716891E0,3.370413208E2,4.748651295E0,6.902236450E0
2.746876493E2,6.500896155E1,2.560662633E1,2.881180960E1,1.701536378E0,3.370413208E2,4.748651294E0,6.758521459E0
2.756876651E2,6.500897631E1,2.560661033E1,2.894887140E1,1.714321951E0,3.370413208E2,4.748651285E0,6.949491457E0
2.766876795E2,6.500899068E1,2.560659704E1,2.911103080E1,1.709354849E0,3.370413208E2,4.748651307E0,6.828551326E0
2.776876931E2,6.500900510E1,2.560657929E1,2.890551481E1,1.712483023E0,3.370413208E2,4.748651303E0,6.776105357E0
2.786877064E2,6.500901985E1,2.560657070E1,2.886475180E1,1.705210901E0,3.392455139E2,4.748651302E0,6.850081912E0
2.796877185E2,6.500903422E1,2.560655967E1,2.866980228E1,1.700658906E0,3.392455139E2,4.748651318E0,6.730073726E0
2.806877292E2,6.500904828E1,2.560654631E1,2.864515203E1,1.707227380E0,3.392455139E2,4.748651333E0,6.654052038E0
2.816877401E2,6.500906194E1,2.560653116E1,2.844559715E1,1.720291616E0,3.392455139E2,4.748651310E0,6.716924982E0
2.826877500E2,6.500907718E1,2.560651973E1,2.853175109E1,1.701467316E0,3.392455139E2,4.748651300E0,6.651228880E0
2.836877589E2,6.500909160E1,2.560650428E1,2.872321169E1,1.715465126E0,3.392455139E2,4.748651267E0,6.679347399E0
2.846877681E2,6.500910470E1,2.560648809E1,2.860955994E1,1.695121923E0,3.392455139E2,4.748651334E0,6.570800542E0
2.856877766E2,6.500911472E1,2.560645866E1,2.836826603E1,1.704423455E0,3.392455139E2,4.748651343E0,6.613774896E0
2.866877832E2,6.500912344E1,2.560642632E1,2.837247087E1,1.698894961E0,3.392455139E2,4.748651371E0,6.435258498E0
2.876877904E2,6.500912629E1,2.560638874E1,2.870117125E1,1.674004681E0,3.392455139E2,4.748651422E0,6.296604883E0
2.886877972E2,6.500912476E1,2.560635020E1,2.868215209E1,1.727194974E0,2.829538237E2,4.748651462E0,6.278261485E0
2.896878029E2,6.500911975E1,2.560631229E1,2.880613322E1,1.741649530E0,2.723584511E2,4.748651484E0,6.333029006E0
2.906878078E2,6.500911317E1,2.560627772E1,2.900412324E1,1.712989574E0,2.627299961E2,4.748651522E0,6.278187375E0
2.916878138E2,6.500911029E1,2.560624299E1,2.895794693E1,1.703324899E0,2.624758614E2,4.748651521E0,6.332825002E0
2.926878189E2,6.500910612E1,2.560622753E1,2.825988995E1,1.694079650E0,2.558618969E2,4.748651500E0,6.348244164E0
2.936878233E2,6.500910512E1,2.560620309E1,2.834544971E1,1.737171327E0,2.572848944E2,4.748651489E0,6.343389118E0
2.946878277E2,6.500910231E1,2.560617158E1,2.819414517E1,1.730037241E0,2.573810196E2,4.748651489E0,6.242946429E0
2.956878307E2,6.500909250E1,2.560608846E1,2.809709928E1,1.749804961E0,2.582301636E2,4.748651497E0,6.227592026E0
2.966878341E2,6.500909064E1,2.560604896E1,2.774382280E1,1.729796351E0,2.582301636E2,4.748651486E0,6.093572892E0
2.976878380E2,6.500908669E1,2.560600956E1,2.756409992E1,1.729691758E0,2.582301636E2,4.748651484E0,6.074613505E0
2.986878412E2,6.500908284E1,2.560597170E1,2.694757633E1,1.731712432E0,2.578346558E2,4.748651472E0,5.982654885E0
2.996878442E2,6.500908063E1,2.560593295E1,2.673637965E1,1.729012774E0,2.578346558E2,4.748651447E0,6.037178185E0
3.006878465E2,6.500907722E1,2.560589232E1,2.721759291E1,1.755746319E0,2.578346558E2,4.748651478E0,6.028633823E0
3.016878488E2,6.500907504E1,2.560585213E1,2.690932857E1,1.732946923E0,2.578346558E2,4.748651487E0,6.102461414E0
3.026878518E2,6.500907322E1,2.560581006E1,2.700116759E1,1.755466668E0,2.580172424E2,4.748651484E0,6.164078635E0
3.036878541E2,6.500906913E1,2.560577131E1,2.677715689E1,1.748611385E0,2.580172424E2,4.748651492E0,6.077165398E0
3.046878550E2,6.500906595E1,2.560573201E1,2.717135307E1,1.733835549E0,2.580172424E2,4.748651497E0,6.092067009E0
3.056878569E2,6.500906282E1,2.560569302E1,2.683917944E1,1.756029037E0,2.580172424E2,4.748651502E0,6.117045813E0
3.066878589E2,6.500905979E1,2.560565312E1,2.676443210E1,1.784261331E0,2.580172424E2,4.748651485E0,6.091853392E0
3.076878601E2,6.500905463E1,2.560561418E1,2.636976903E1,1.771806893E0,2.580172424E2,4.748651488E0,6.186203184E0
3.086878612E2,6.500904997E1,2.560557425E1,2.663836632E1,1.777697249E0,2.580172424E2,4.748651499E0,6.106278483E0
3.096878630E2,6.500904651E1,2.560553577E1,2.677287921E1,1.771024921E0,2.580172424E2,4.748651516E0,6.063567366E0
3.106878628E2,6.500904371E1,2.560549597E1,2.662941178E1,1.770496441E0,2.582855835E2,4.748651490E0,6.204166583E0
3.116878637E2,6.500904064E1,2.560545523E1,2.665534238E1,1.782027294E0,2.582855835E2,4.748651487E0,6.222357299E0
3.126878648E2,6.500903685E1,2.560541552E1,2.633922536E1,1.793121211E0,2.582855835E2,4.748651479E0,6.187560097E0
3.136878657E2,6.500903453E1,2.560537622E1,2.631265760E1,1.787168656E0,2.582855835E2,4.748651483E0,6.212639707E0
3.146878663E2,6.500903172E1,2.560533783E1,2.628512970E1,1.787867848E0,2.582855835E2,4.748651484E0,6.192922363E0
3.156878673E2,6.500902754E1,2.560529965E1,2.644188355E1,1.787784567E0,2.582855835E2,4.748651508E0,6.196751037E0
3.166878678E2,6.500902390E1,2.560525936E1,2.614741189E1,1.810842181E0,2.581747437E2,4.748651497E0,6.161201696E0
3.176878686E2,6.500902131E1,2.560521746E1,2.630180400E1,1.824767191E0,2.581747437E2,4.748651483E0,6.181093264E0
3.186878691E2,6.500901800E1,2.560517503E1,2.630069345E1,1.829912837E0,2.581747437E2,4.748651476E0,6.127060435E0
3.196878690E2,6.500901477E1,2.560513489E1,2.626345854E1,1.840043371E0,2.581747437E2,4.748651484E0,6.199168127E0
3.206878688E2,6.500901002E1,2.560509736E1,2.625495347E1,1.805218170E0,2.579971008E2,4.748651480E0,6.249096299E0
3.216878692E2,6.500900644E1,2.560505943E1,2.635332393E1,1.816628650E0,2.579971008E2,4.748651481E0,6.109071982E0
3.226878692E2,6.500900302E1,2.560502103E1,2.639891135E1,1.814802028E0,2.579971008E2,4.748651495E0,6.186414672E0
3.236878690E2,6.500899863E1,2.560498163E1,2.657816456E1,1.828565384E0,2.579971008E2,4.748651500E0,6.153458279E0
3.246878694E2,6.500899537E1,2.560494360E1,2.657408561E1,1.820928681E0,2.579971008E2,4.748651500E0,6.161800242E0
3.256878694E2,6.500899283E1,2.560490172E1,2.638445791E1,1.841698286E0,2.579971008E2,4.748651493E0,6.072513538E0
3.266878695E2,6.500898750E1,2.560486176E1,2.629093354E1,1.839464874E0,2.580929565E2,4.748651486E0,6.111796858E0
3.276878690E2,6.500898385E1,2.560482180E1,2.622481643E1,1.837932045E0,2.580929565E2,4.748651482E0,6.009826853E0
3.286878687E2,6.500898038E1,2.560478132E1,2.630417799E1,1.837258968E0,2.580929565E2,4.748651485E0,6.223881132E0
3.296878685E2,6.500897660E1,2.560474260E1,2.636545411E1,1.832378350E0,2.580929565E2,4.748651496E0,6.022430275E0
3.306878688E2,6.500897028E1,2.560470811E1,2.619479818E1,1.799121198E0,2.580929565E2,4.748651499E0,5.986440160E0
3.316878682E2,6.500896874E1,2.560467409E1,2.625415260E1,1.765196051E0,2.580929565E2,4.748651487E0,5.979848488E0
3.326878676E2,6.500896801E1,2.560463826E1,2.596789861E1,1.786032981E0,2.580929565E2,4.748651470E0,6.105370936E0
3.336878681E2,6.500896244E1,2.560460053E1,2.628226286E1,1.840599583E0,2.580929565E2,4.748651490E0,5.942861192E0
3.346878679E2,6.500895728E1,2.560456724E1,2.611013340E1,1.785812117E0,2.580929565E2,4.748651500E0,6.113092954E0
3.356878668E2,6.500895358E1,2.560452952E1,2.569423846E1,1.849307189E0,2.567413940E2,4.748651485E0,6.074696389E0
3.366878663E2,6.500894989E1,2.560449258E1,2.561901805E1,1.840658637E0,2.567413940E2,4.748651459E0,6.178684183E0
3.376878666E2,6.500894618E1,2.560445530E1,2.496864102E1,1.851569556E0,2.567413940E2,4.748651445E0,6.054656732E0
3.386878666E2,6.500894251E1,2.560441847E1,2.521267862E1,1.862495385E0,2.567413940E2,4.748651454E0,6.145553455E0
3.396878664E2,6.500893907E1,2.560438397E1,2.562953138E1,1.805393031E0,2.567413940E2,4.748651505E0,6.068509283E0
3.406878653E2,6.500892751E1,2.560434103E1,2.543213583E1,1.857449849E0,2.468181610E2,4.748651513E0,5.951561175E0
3.416878651E2,6.500891830E1,2.560430368E1,2.541868909E1,1.869924107E0,2.430899658E2,4.748651496E0,5.943082132E0
3.426878647E2,6.500891055E1,2.560426757E1,2.545941278E1,1.868468839E0,2.430899658E2,4.748651494E0,5.904766383E0
3.436878645E2,6.500890273E1,2.560423112E1,2.540087779E1,1.860841020E0,2.430899658E2,4.748651498E0,5.852576129E0
3.446878642E2,6.500889526E1,2.560419729E1,2.523134059E1,1.830628863E0,2.428549500E2,4.748651484E0,5.903481081E0
3.456878628E2,6.500888727E1,2.560416044E1,2.547574582E1,1.856383138E0,2.428549500E2,4.748651488E0,5.822854237E0
3.466878625E2,6.500887995E1,2.560412664E1,2.564402220E1,1.848712481E0,2.443902283E2,4.748651513E0,5.976253365E0
3.476878625E2,6.500887274E1,2.560409111E1,2.540142695E1,1.869360247E0,2.443902283E2,4.748651500E0,5.741841062E0
3.486878618E2,6.500886531E1,2.560405447E1,2.538894281E1,1.885014354E0,2.443902283E2,4.748651507E0,5.930515514E0
3.496878607E2,6.500885920E1,2.560401828E1,2.527014756E1,1.879784088E0,2.482488708E2,4.748651496E0,5.684805073E0
3.506878604E2,6.500885283E1,2.560398051E1,2.532237699E1,1.841413489E0,2.482488708E2,4.748651495E0,5.766552489E0
3.516878606E2,6.500884742E1,2.560394354E1,2.525301195E1,1.853881065E0,2.525974426E2,4.748651486E0,5.738319639E0
3.526878599E2,6.500884195E1,2.560390231E1,2.541197981E1,1.878300115E0,2.525974426E2,4.748651483E0,5.652220597E0
3.536878592E2,6.500883700E1,2.560386498E1,2.513092783E1,1.847468882E0,2.525974426E2,4.748651473E0,5.628408662E0
3.546878583E2,6.500883245E1,2.560382609E1,2.536651191E1,1.856489135E0,2.556904602E2,4.748651482E0,5.784443857E0
3.556878579E2,6.500882816E1,2.560378634E1,2.517819968E1,1.865040356E0,2.556904602E2,4.748651483E0,5.836120885E0
3.566878573E2,6.500882388E1,2.560374667E1,2.554468562E1,1.853501720E0,2.556904602E2,4.748651488E0,5.835653173E0
3.576878560E2,6.500882071E1,2.560370788E1,2.540620032E1,1.847373083E0,2.581802063E2,4.748651484E0,5.813993640E0
3.586878563E2,6.500881726E1,2.560366889E1,2.561308115E1,1.835127236E0,2.581802063E2,4.748651489E0,5.639770846E0
3.596878554E2,6.500881391E1,2.560363108E1,2.557562794E1,1.845940649E0,2.581802063E2,4.748651500E0,5.612762058E0
3.606878551E2,6.500881059E1,2.560359353E1,2.580061963E1,1.835827047E0,2.581802063E2,4.748651486E0,6.100810299E0
3.616878546E2,6.500880717E1,2.560355490E1,2.579161452E1,1.845654645E0,2.581802063E2,4.748651475E0,6.169829020E0
3.626878530E2,6.500880373E1,2.560351603E1,2.561658610E1,1.840911980E0,2.581802063E2,4.748651462E0,6.291053174E0
3.636878529E2,6.500880018E1,2.560347596E1,2.571275160E1,1.840758930E0,2.581802063E2,4.748651445E0,6.545266040E0
3.646878526E2,6.500879672E1,2.560343695E1,2.582889955E1,1.833764076E0,2.581802063E2,4.748651457E0,6.721183885E0
3.656878518E2,6.500879318E1,2.560339698E1,2.594911364E1,1.831765194E0,2.580393982E2,4.748651462E0,6.722649488E0
3.666878508E2,6.500878949E1,2.560335575E1,2.650273325E1,1.839210323E0,2.580393982E2,4.748651477E0,6.823864889E0
3.676878505E2,6.500878598E1,2.560331665E1,2.636085068E1,1.838361058E0,2.580393982E2,4.748651475E0,6.796435298E0
3.686878499E2,6.500878245E1,2.560327717E1,2.632737876E1,1.822630177E0,2.580393982E2,4.748651470E0,6.814521472E0
3.696878494E2,6.500877866E1,2.560323735E1,2.635781594E1,1.822704174E0,2.571348572E2,4.748651468E0,6.856244662E0
3.706878487E2,6.500877495E1,2.560319783E1,2.647725659E1,1.819255881E0,2.582858887E2,4.748651475E0,6.756187840E0
3.716878481E2,6.500877164E1,2.560316012E1,2.662523527E1,1.808578332E0,2.582858887E2,4.748651474E0,6.755893484E0
3.726878475E2,6.500876811E1,2.560311985E1,2.683009367E1,1.821614830E0,2.582858887E2,4.748651467E0,6.896111752E0
3.736878463E2,6.500876448E1,2.560307854E1,2.679994025E1,1.824523662E0,2.582858887E2,4.748651471E0,6.949033006E0
3.746878465E2,6.500876089E1,2.560303756E1,2.700028953E1,1.822497692E0,2.583255310E2,4.748651469E0,6.908964850E0
3.756878458E2,6.500875741E1,2.560299774E1,2.683936063E1,1.819023543E0,2.583255310E2,4.748651449E0,6.895995559E0
3.766878448E2,6.500875411E1,2.560296004E1,2.696501652E1,1.806854839E0,2.583255310E2,4.748651445E0,6.619189217E0
3.776878449E2,6.500875061E1,2.560292011E1,2.692822684E1,1.823397330E0,2.580172424E2,4.748651446E0,7.028758007E0
3.786878436E2,6.500874709E1,2.560288089E1,2.708126128E1,1.819592424E0,2.580172424E2,4.748651457E0,6.782927422E0
3.796878425E2,6.500874368E1,2.560284286E1,2.708720137E1,1.816791698E0,2.580172424E2,4.748651473E0,6.831449077E0
3.806878419E2,6.500874023E1,2.560280450E1,2.722185210E1,1.806593354E0,2.580172424E2,4.748651472E0,6.841467619E0